id,title,author,isbn,num_pages,average_rating,ratings_count,text_reviews_count,book_format
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,652,4.57,2218107,29552,Paperback
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,0439358078,870,4.50,2284052,31545,Paperback
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,309,4.47,6562116,79693,Hardcover
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,0439554896,352,4.43,6388,244,Hardcover
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,043965548X,435,4.57,2510765,39248,Mass Market Paperback
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,734,4.56,2343335,33821,Paperback
7,"The Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,0439887453,,4.73,1657,112,Paperback
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling,0439682584,2690,4.78,50359,175,Paperback
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606,152,3.83,21,1,Paperback
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,0439827604,3342,4.73,28946,839,Hardcover
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,216,4.22,952841,16368,Mass Market Paperback
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0517226952,815,4.36,3656,257,Leather Bound
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0345453743,815,4.36,262544,4227,Paperback
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1400052920,215,4.22,6405,530,Hardcover
15,The Hitchhiker's Guide to Lean: Lessons from the Road,Jamie Flinchbaugh,0872638316,,3.71,56,4,
16,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,0739322206,6,4.22,1304,263,Audio CD
17,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)",Douglas Adams,1572704888,,4.34,637,25,Audio CD
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0517149257,815,4.36,2932,198,Hardcover
19,"The Hitchhiker's Guide to the Galaxy: Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)",Douglas Adams,0792738586,,4.37,11,0,Audio CD
21,A Short History of Nearly Everything,Bill Bryson,076790818X,544,4.20,267601,9968,Paperback
22,Bill Bryson's African Diary,Bill Bryson,0767915062,55,3.45,7463,512,Hardcover
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435,256,3.88,2149,135,Paperback
24,In a Sunburned Country,Bill Bryson,0767903862,335,4.07,76107,4433,Paperback
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,304,3.89,50633,2282,Paperback
26,The Lost Continent: Travels in Small Town America,Bill Bryson,0060920084,299,3.82,47480,2378,Paperback
27,Neither Here nor There: Travels in Europe,Bill Bryson,0380713802,254,3.86,52158,2370,Paperback
28,Notes from a Small Island,Bill Bryson,0380727501,324,3.91,84200,3436,Paperback
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,0380715430,270,3.92,29792,2205,Paperback
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,0345538374,1728,4.60,104432,1605,Mass Market Paperback
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,0618517650,1184,4.50,1732,91,Hardcover
32,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,0618346244,1137,4.50,2820,130,Paperback
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,,1216,4.50,491515,8487,Paperback
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,0618346252,398,4.36,2220742,14725,Paperback
35,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,0618260587,1216,4.50,1632,141,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,0618391002,218,4.55,25768,49,Paperback
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,0618510826,224,4.51,363,6,Paperback
38,The Lord of the Rings Box Set,J.R.R. Tolkien,0618153977,1223,4.50,223,19,
39,The Lord of the Rings,Brian Sibley,0553456539,,4.72,281,17,
40,"Cooking with Fernet Branca (Gerald Samper, #1)",James Hamilton-Paterson,193337201X,288,3.61,1289,213,Paperback
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,097669400X,558,3.84,1447,61,Paperback
46,Ruby Quickly: Ruby and Rails for the Real World,Mark   Watson,1932394745,360,3.40,5,0,Paperback
48,The Bucaneers,Edith Wharton,0517152789,,3.90,126,12,Hardcover
49,Bucaneer,Luther Butler,0738837806,,3.83,6,1,
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,0689840926,208,3.73,286422,12458,Hardcover
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,1557344493,48,3.95,37,2,Paperback
52,El hacha,Gary Paulsen,8427932065,,3.73,22,3,Paperback
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,0385326505,144,3.88,2118,339,Hardcover
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,56,4.33,6,0,Paperback
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,228,3.47,99,16,Paperback
56,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,Bud Cheff Sr.,0912299622,150,3.60,10,0,Paperback
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,1595962808,304,3.75,166,4,Paperback
58,"Changeling (Changeling, #1)",Delia Sherman,0670059676,256,3.61,989,112,Hardcover
59,The Changeling Sea,Patricia A. McKillip,0141312629,137,4.06,4543,318,Paperback
60,"Changelings (The Twins of Petaybee, #1)",Anne McCaffrey,0593056124,,3.78,15,3,
61,The Changeling,Zilpha Keatley Snyder,0595321801,228,4.18,1187,100,Paperback
63,The Changeling,Kate Horsley,1590301943,339,3.56,303,43,Paperback
65,"Shadows in the Starlight (Changeling Detective, #2)",Elaine Cunningham,0765348527,288,3.68,34,6,Mass Market Paperback
66,"The Changeling (Daughters of England, #15)",Philippa Carr,0449146979,369,3.98,358,13,Mass Market Paperback
67,The Known World,Edward P. Jones,0061159174,388,3.83,30554,2710,Paperback
68,The Known World,Edward P. Jones,006076273X,14,3.83,58,12,Audio CD
69,The Known World,Edward P. Jones,0060749911,576,3.83,22,3,Paperback
70,I Wish I Had Known That!: World's Greatest Money & Time Saving Baby Secrets Revealed!,Nicole Rae Painter,0975936808,,4.25,4,0,
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",Satyajit Das,0273704745,334,3.83,1492,85,Paperback
72,Artesia: Adventures in the Known World,Mark Smylie,1932386106,352,4.15,54,4,Hardcover
73,The Known World,Edward P. Jones,096513671X,388,3.83,15,2,Paperback
74,"The John McPhee Reader (John McPhee Reader, #1)",John McPhee,0374517193,416,4.42,580,39,Paperback
75,Uncommon Carriers,John McPhee,0374280398,248,3.95,1662,203,Hardcover
76,Heirs of General Practice,John McPhee,0374519749,128,4.16,281,23,Paperback
77,The Control of Nature,John McPhee,0374522596,288,4.25,3590,308,Paperback
78,Annals of the Former World,John McPhee,0374518734,720,4.34,3195,232,Paperback
79,Coming Into the Country,John McPhee,0374522871,448,4.22,5824,267,Paperback
80,La Place de la Concorde Suisse,John McPhee,0374519323,160,3.93,708,53,Paperback
81,Giving Good Weight,John McPhee,0374516006,288,4.23,549,36,Paperback
82,"The Second John McPhee Reader (John McPhee Reader, #2)",John McPhee,0374256861,393,4.38,6,1,Hardcover
83,Rising from the Plains,John McPhee,0374520658,208,4.23,1389,107,Paperback
84,Heidi,Loretta Krupinski,0060234385,,4.50,18,3,Hardcover
85,The Heidi Chronicles,Wendy Wasserstein,0822205106,81,3.74,1483,75,Paperback
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,0679734996,249,3.84,2769,64,Paperback
87,Pandering,Heidi Fleiss,0972016406,,3.62,88,11,
88,Love Your Handwriting (Creating Keepsakes),Heidi Swapp,1929180896,,3.60,89,8,Spiral Bound
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",Heidi Hayes Jacobs,1596670231,138,3.91,33,1,Paperback
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,128,3.77,63,4,Paperback
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,0800793617,192,4.46,871,55,Paperback
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,0871202867,108,3.65,78,2,Paperback
93,"Heidi (Heidi, #1-2)",Johanna Spyri,0753454947,352,3.99,156168,2421,Paperback
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,0871209993,192,3.24,58,5,Paperback
95,"Cinnamon and Roses (Rose Trilogy, #1)",Heidi Betts,0843946687,298,3.87,61,5,Paperback
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,1852402873,192,4.46,34,6,Paperback
97,The Birthdays,Heidi Pitlor,0393061272,,2.86,70,13,
98,What to Expect the First Year (What to Expect),Heidi Murkoff,0761129588,832,3.89,12041,678,Paperback
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,0972016414,123,3.74,35,8,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,1581805632,128,3.78,79,4,Paperback
101,Chasing Jordan,Heidi W. Boehringer,1852428937,240,3.46,37,7,Paperback
102,Seven-Year Seduction,Heidi Betts,0373767099,184,3.62,79,6,Mass Market Paperback
103,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,0441294677,423,3.85,2850,170,Mass Market Paperback
104,"Dune (Dune Chronicles, #1)",Frank Herbert,,528,4.23,4281,485,Paperback
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,0441102670,436,3.91,39012,600,Mass Market Paperback
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,0441172695,331,3.89,99115,2507,Mass Market Paperback
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,0765306476,592,4.01,801,23,Paperback
108,The Secrets of Frank Herbert's Dune,James Van Hise,074340730X,160,3.51,45,0,Paperback
109,"Heretics of Dune (Dune Chronicles, #5)",Frank Herbert,0399128980,480,3.87,293,24,Hardcover
110,The Road to Dune,Frank Herbert,0765353709,426,3.88,4889,83,Paperback
111,"Dios emperador de Dune (Dune Chronicles, #4)",Frank Herbert,8497597486,,3.85,136,16,
112,Children of Dune (Dune Chronicles #3),Frank Herbert,,408,3.94,85488,1481,Mass Market Paperback
113,"Dune (Dune Chronicles, #1)",Frank Herbert,1402523807,,4.23,44,5,Audio CD
114,"Dune Trilogy Box Set (Dune Chronicles, #1-3)",Frank Herbert,0425039323,,4.36,26,0,Mass Market Paperback
115,Worlds Beyond Dune Box,Frank Herbert,042504517X,,4.00,6,0,Mass Market Paperback
116,The Dune Encyclopedia,Willis Everett McNelly,0399129502,,4.10,36,2,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,0441328008,471,3.87,45654,688,Mass Market Paperback
118,The Battles of Dune,Felix  Salten,1559948981,,4.18,450,0,Audiobook
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,0618212906,192,4.61,35968,125,Hardcover
120,The Trust: The Private and Powerful Family behind the New York Times,Susan E. Tifft,0756787122,,3.99,4,0,
121,The Patriarch: The Rise and Fall of the Bingham Dynasty,Susan E. Tifft,0671797077,576,3.67,8,1,Paperback
122,"The Power of One (The Power of One, #1)",Bryce Courtenay,034541005X,544,4.34,72633,4672,Paperback
123,"The Power of One (The Power of One, #1)",Bryce Courtenay,0385732546,291,4.34,48,13,Hardcover
124,Lose Weight with The Power of One: A Motivational Journey to Nutritional Sanity,Stephen   Moss,0973322802,,4.33,9,1,
125,The Power of One: Daisy Bates and the Little Rock Nine,Dennis Brindell Fradin,061831556X,192,4.42,38,7,Hardcover
126,"The Power of One (The Power of One, #1)",Bryce Courtenay,1876584858,,4.34,19,7,Audio Cassette
127,"Powers Unlimited One: A Sourcebook for Heroes Unlimited (Heroes Unlimited, #1)",Carmen Bellaire,1574570870,,4.39,18,0,
128,The Power of One Christlike Life,Francis Frangipane,0883686287,159,4.22,36,3,Paperback
129,"The Power of One: One Person, One Rule, One Month",John C. Maxwell,0785260056,256,4.26,17,1,Paperback
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,0471780936,205,3.33,178,16,Hardcover
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",Louis E. Catron,0325001537,240,3.67,10,0,Paperback
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",Adam Ginsberg,006076287X,336,3.51,76,9,Paperback
133,eBay for Dummies,Marsha Collier,0470045299,386,3.51,112,9,Paperback
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,Debra Schepp,0072258691,385,3.59,40,2,Paperback
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,0072262788,260,3.62,24,0,Paperback
136,Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller,Skip McGrath,1592574335,,3.81,20,2,
137,Starting an eBay Business for Dummies,Marsha Collier,0764569244,384,3.55,55,4,Paperback
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,0471933821,260,4.27,9,0,Paperback
139,ebay Timesaving Techniques for Dummies,Marsha Collier,0764559915,391,3.39,22,1,Paperback
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,0764584383,864,3.89,17,3,Paperback
141,Ruby Cookbook,Lucas Carlson,0596523696,873,3.84,167,4,Paperback
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,0806523492,240,4.17,52,5,Paperback
143,Ruby Ann's Down Home Trailer Park Holiday Cookbook,Ruby Ann Boxcar,0806523506,,4.10,20,1,Paperback
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,0806525363,206,4.08,13,2,Paperback
145,Ruby Cookbook,Colin Steele,0596003242,,4.60,5,0,Paperback
146,Ruby's Low-Fat Soul Food Cookbook,Ruby Banks-Payne,0809231530,175,4.80,5,0,Paperback
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,0596527314,514,3.46,65,1,Paperback
148,"Ruby Slippers Cookbook: Life, Culture, Family & Food after Katrina",Amy Cyrex Sins,097851470X,,4.36,11,1,
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,Ruby Le Bois,184215298X,256,3.75,4,0,Paperback
151,Anna Karenina,Leo Tolstoy,0143035002,838,4.05,17074,1939,Paperback
152,Anna Karenina,Leo Tolstoy,0451528611,960,4.05,109469,5733,Mass Market Paperback
153,Anna Karenina,Leo Tolstoy,0140449175,837,4.05,3023,326,Paperback
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,0822001837,80,3.82,17,3,Paperback
155,Anna Karenina,Leo Tolstoy,1593080271,803,4.05,9775,754,Paperback
156,Anna Karenina,Leo Tolstoy,0486437965,752,4.05,492,73,Paperback
157,Anna Karenina,Leo Tolstoy,1593081774,803,4.05,306,50,Hardcover
158,Anna Karenina,Leo Tolstoy,1419305948,,4.05,256,66,Audio CD
159,Dinner with Anna Karenina,Gloria Goldreich,0778322270,360,2.98,414,65,Hardcover
160,Tolstoy: Anna Karenina,Anthony Thorlby,0521313252,128,4.20,1242,34,Paperback
161,The Dream Life of Sukhanov,Olga Grushin,0399152989,,3.88,66,16,
162,Untouchable,Mulk Raj Anand,0140183957,160,3.72,3712,318,Paperback
163,The Untouchable,John Banville,0679767479,368,3.95,2239,228,Paperback
164,The Untouchables,Eliot Ness,1568491980,256,3.89,619,31,Hardcover
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,0743270797,320,3.82,319,42,Hardcover
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,0932863051,100,4.20,10,0,Paperback
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",Oliver Mendelsohn,0521553628,308,4.00,5,0,Hardcover
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,0742508803,224,3.71,16,4,Hardcover
170,The Book of Evidence,Peter Achinstein,0195171713,304,3.83,12,2,Paperback
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,0205358624,216,3.40,10,0,Paperback
172,Surgery: Basic Science and Clinical Evidence,Jeffrey A. Norton,038798447X,,3.83,4,0,
174,"The Book of Evidence (The Freddie Montgomery Trilogy, #1)",John Banville,5553887828,,3.71,15,2,Audio Cassette
175,A Challenge to the Critics: Scholarly Evidences of the Book of Mormon,Diane E. Wirth,0882903128,,4.00,11,2,
176,Little Known Evidences of the Book of Mormon,Brenton G. Yorgason,1555031285,,3.79,51,4,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,1557344035,48,4.15,20,0,Paperback
178,A Wrinkle in Time by Madeleine L'Engle: Study Guide,Teri Shagoury,1586091840,,4.12,48,8,
179,A Wrinkle in Time: LitPlan Teacher Pack,Mary B. Collins,1583370781,,3.73,4,0,
180,Wrinkles in Time,George Smoot,0380720442,360,4.02,1049,24,Paperback
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,0821925326,250,4.00,36,6,Hardcover
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,043927169X,32,3.60,15,0,Paperback
183,Un raccourci dans le temps,Madeleine L'Engle,2266081594,254,4.00,31,8,Paperback
184,Empress in the Wrinkle of Time: The Knight-King Chronicle,Valerie Metcalf Estoye,0738817538,508,4.25,4,0,Paperback
185,Access to Literature: A Wrinkle in Time,LinguiSystems,1559993847,,3.90,10,0,Hardcover
186,Wrinkles in Time: Imprint of Creation,George Smoot,0349106029,,4.02,37,3,
188,"Madeleine L'Engle: Author of ""A Wrinkle in Time"" (People in Focus)",Doreen Gonzales,0875184855,,4.30,64,6,
189,A Wrinkle in Time: A Reading Guide,Manuela Soares,0613956192,,3.62,7,0,Hardcover
190,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,0788701371,,4.00,278,22,
191,Literature Connections Sourcebook: A Wrinkle in Time and Related Readings,McDougal Littell,0395783518,,3.91,1511,5,
192,A Wrinkle in Time: L-I-T Guide,Charlotte S. Jaffe,1566440114,40,3.91,54,3,Paperback
193,"A Literature Guide to ""A Wrinkle in Time"" by Madeleine L'Engle",Raymond E. Jones,0943069203,,3.50,6,0,
194,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,0788746472,,4.00,34,9,Audio CD
195,Decision & Responsibility: A Wrinkle in Time,H. Ganse Little,1891301128,,4.25,8,0,
196,The Silver Sword,Laura Brierley,0901291668,,4.28,25,1,
197,A Wrinkle in Time: Teacher Guide,Anne Troy,1561371181,32,4.10,12,0,Paperback
198,A Wrinkle in Time: Teaching Unit,James      Scott,1580490794,53,4.27,11,0,Paperback
200,A Wrinkle in Time: Student Packet,"Novel Units, Inc.",1561374989,,4.00,9,0,Paperback
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,0606105263,205,4.00,6,1,
202,The Long Shadow of Little Rock: A Memoir,Daisy Bates,0938626752,,4.18,176,20,
203,The Long Shadow of Temperament,Jerome Kagan,0674015517,,4.00,18,2,
204,"The Long Shadow (The Morland Dynasty, #6)",Cynthia Harrod-Eagles,0751506435,367,4.13,384,17,Paperback
205,"A Long Shadow (Inspector Ian Rutledge, #8)",Charles Todd,006078671X,352,4.12,3205,249,Hardcover
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,Christopher Waldrep,0742548686,344,3.29,14,4,Hardcover
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,0743499344,320,3.95,361,44,Paperback
208,"A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,0765313405,331,3.61,10023,648,Hardcover
209,The Long Shadow,Clois G. Long,0533094496,,4.50,4,0,
210,"Long Shadows: Truth, Lies and History",Erna Paris,1582342105,496,4.20,7,0,Paperback
212,The Collected Memoirs of Charles Willeford: I Was Looking for a Street/Something About a Soldier,Charles Willeford,1584440538,,4.25,18,0,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,1400032490,244,3.89,858,84,Paperback
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,1400032482,215,4.03,756,75,Paperback
215,The Way We Die Now,Charles Willeford,1400032504,256,4.05,662,65,Paperback
216,Miami Blues (Hoke Moseley #1),Charles Willeford,1400032466,191,3.93,3005,194,Paperback
217,Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter,Charles Willeford,1874061394,602,4.34,40,2,Unknown Binding
218,The Woman Chaser,Charles Willeford,1842430017,192,3.93,503,51,Paperback
219,The Machine in Ward Eleven,Charles Willeford,1568582102,160,3.62,131,15,Paperback
221,Wild Wives,Charles Willeford,1400032474,102,3.69,359,46,Paperback
222,The Shark-Infested Custard,Charles Willeford,1400032512,272,3.83,514,59,Paperback
224,The Black Mass of Brother Springer,Charles Willeford,1930997353,208,3.99,155,11,Paperback
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,Kirby Olson,0896724409,184,3.86,7,0,Hardcover
228,Cockfighter,Charles Willeford,1596542225,200,4.11,1053,68,Paperback
229,"Sideswipe (Hoke Moseley, #3)",Charles Willeford,0345349474,279,4.03,24,3,Mass Market Paperback
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,0679732527,144,3.87,104,11,Paperback
231,I am Charlotte Simmons,Tom Wolfe,0312424442,738,3.42,21220,1705,Paperback
232,I am Charlotte Simmons,Tom Wolfe,1593977549,,3.42,10,2,
234,The Complete Verse and Other Nonsense,Edward Lear,0142002275,624,4.18,907,27,Paperback
236,The Complete Nonsense of Edward Lear,Edward Lear,089190090X,287,4.02,419,39,Hardcover
237,Poetry for Young People: Edward Lear,Edward Lear,0806930772,48,3.98,71,21,Hardcover
238,Later Letters of Edward Lear to Chichester Fortescue (Select Bibliographies Reprint Ser.)),Edward Lear,0836966171,,5.00,2,2,
239,An Edward Lear Alphabet,Edward Lear,0060281138,32,3.39,37,9,Hardcover
240,Edward Lear's Nonsense Verse,Edward Lear,1851497048,,3.65,3,2,Hardcover
241,A Was Once an Apple Pie,Edward Lear,0439660564,32,3.43,198,67,Hardcover
242,The Owl and the Pussycat,Edward Lear,0698113675,32,4.20,76,9,Paperback
